route_iroute_name                 route_startvroute_endvillroute_distaroute_categorroute_rai
1001   Barakuy-KodougouBobo       101         120          4.08       4            1        
1002   Barakuy-NokuyBobo          101         126          4.65       4            1        
1003   Toni-Dokoura               102         116          6.75       4            0        
1004   Toni-Kamandena             102         118          3.23       2            0        
1005   Toni-Kamandena             102         118          12.3       2            1        
1006   Toni-Kemena                102         119          5.46       4            0        
1007   Barakuy-BironBobo          101         103          2.48       1            1        
1008   BironBobo-Kamiankoro       103         150          18.7       4            1        
1009   BironBobo-KodougouMossi    103         160          6.63       1            1        
1010   BironBobo-BironMarka       103         104          1.01       4            1        
1011   BironMarka-Lekuy           104         124          4.6        4            1        
1012   Boron-Pa                   105         128          4.1        4            1        
1013   Boron-Dara                 105         140          2.8        3            1        
1014   Boron-Tonkoroni            105         159          8.7        4            1        
1015   Bouni-Zanakuy              106         138          3.12       4            1        
1016   Bouni-Moinsi               106         155          1.7        4            1        
1017   Bourasso-Dimasso           107         113          13.16      4            0        
1018   Bourasso-Labarani          107         122          11.3       4            0        
1019   Bourasso-Lekuy             107         124          6.08       1            1        
1020   Bourasso-Kamiankoro        107         150          12.12      4            1        
1021   Cisse-Seriba               108         130          9.38       4            1        
1022   Cisse-Tissi                108         139          5.69       4            1        
1023   Dankoumana-Zanakuy         109         138          15.6       4            0        
1024   Toni-Dembelela             102         110          4.89       4            0        
1025   Dembelela-Nouna            110         142          15.5       4            0        
1026   DenissaMarka-Dara          111         140          8.61       4            0        
1027   DenissaMarka-DenissaMossi  111         112          1.13       4            1        
1028   Dimasso-Sirakorosso        113         135          4.1        4            1        
1029   Dimasso-Tonsere            113         137          18.86      4            0        
1030   Dionkongo-Dinan            114         115          1.72       4            1        
1031   Dionkongo-Sere             114         157          4.1        4            1        
1032   Dionkongo-Soin             114         158          10.3       2            1        
1033   Dinan-Seriba               115         130          8.28       4            1        
1034   Dokoura-Kamandena          116         118          4.5        4            0        
1035   Toni-Goni                  102         117          9.48       4            0        
1036   DenissaMarka-Goni          111         117          1.29       4            1        
1037   Goni-Dara                  117         140          7.32       4            0        
1038   DenissaMossi-Kamandena     112         118          1.99       4            1        
1039   Kamandena-Kemena           118         119          10.47      4            0        
1040   Kamandena-Dara             118         140          8.4        4            0        
1041   Dembelela-Kemena           110         119          2.79       4            1        
1042   Dokoura-Kemena             116         119          8.79       4            0        
1043   Kemena-Nouna               119         142          17.1       4            0        
1044   BironBobo-KodougouBobo     103         120          6.53       4            1        
1045   KodougouBobo-KodougouMossi 120         160          4.64       2            1        
1046   Dankoumana-Koro            109         121          6.7        2            1        
1047   Koro-Ouette                121         127          5.4        2            1        
1048   Koro-Mourdie               121         156          19.5       4            0        
1049   BironMarka-Labarani        104         122          4.3        4            1        
1050   Labarani-NokuyBobo         122         126          5.8        4            1        
1051   Labarani-Moinsi            122         155          7.4        4            1        
1052   Cisse-Lei                  108         123          12.84      4            0        
1053   Lei-Sien                   123         131          11.66      4            1        
1054   BironBobo-Lekuy            103         124          5.6        1            1        
1055   Labarani-Lekuy             122         124          4.98       4            1        
1056   Bouni-Lemini               106         125          3.4        4            1        
1057   BironMarka-NokuyBobo       104         126          5.4        4            1        
1058   NokuyBobo-BironBadala      126         145          6.06       3            1        
1059   NokuyBobo-Moinsi           126         155          8          4            1        
1060   Dionkongo-Ouette           114         127          10.94      2            1        
1061   Ouette-Sampopo             127         129          10.8       4            0        
1062   Ouette-Seriba              127         130          2.6        4            1        
1063   Toni-Pa                    102         128          5.61       2            1        
1064   Pa-Sobon                   128         133          2          4            1        
1065   Pa-Babekolon               128         143          11.7       4            0        
1066   Dankoumana-Sampopo         109         129          5.6        4            0        
1067   Koro-Sampopo               121         129          8.2        4            1        
1068   Sampopo-Solimana           129         134          8.7        4            0        
1069   Lei-Seriba                 123         130          13.89      4            1        
1070   Seriba-Solimana            130         134          5.4        4            1        
1071   Seriba-Tissi               130         139          7.89       4            1        
1072   Sampopo-Sien               129         131          11.14      4            0        
1073   Bourasso-Sikoro            107         132          8.04       4            1        
1074   Sikoro-Tonkoroni           132         159          11.8       4            1        
1075   Toni-Sobon                 102         133          5.4        4            1        
1076   Boron-Sobon                105         133          2.9        4            1        
1077   Cisse-Solimana             108         134          16.72      4            1        
1078   Koro-Solimana              121         134          9.8        4            1        
1079   Lei-Solimana               123         134          9.18       4            1        
1080   Sien-Solimana              131         134          2.6        4            1        
1081   Bouni-Sirakorosso          106         135          1.13       4            1        
1082   Bourasso-Sirakorosso       107         135          13.96      4            0        
1083   Labarani-Sirakorosso       122         135          6          4            1        
1084   Sikoro-Tebere              132         136          2.9        4            1        
1085   Bourasso-Tonsere           107         137          3.34       4            1        
1086   Tebere-Tonsere             136         137          3.8        4            1        
1087   Tonsere-Bissau             137         146          8.81       4            1        
1088   Tonsere-Kansara            137         151          6.6        4            1        
1089   Tonsere-Konkuini           137         153          5.4        4            1        
1090   Dimasso-Zanakuy            113         138          2.65       4            1        
1091   Koro-Zanakuy               121         138          16.2       4            0        
1092   Dionkongo-Tissi            114         139          3.33       4            1        
1093   Solimana-Tissi             134         139          13.32      4            1        
1094   Tissi-Sere                 139         157          4.4        4            1        
1095   Sobon-Dara                 133         140          2.9        4            1        
1096   Dara-Bankoumani            140         141          2.6        4            0        
1097   Goni-Bankoumani            117         141          7.11       4            0        
1098   Bankoumani-Bonkuy          141         147          6.6        4            0        
1099   Bankoumani-Kerena          141         152          13.01      4            0        
1100   Boron-Nouna                105         142          11.25      3            1        
1101   Bourasso-Nouna             107         142          20.48      1            1        
1102   Pa-Nouna                   128         142          12.69      2            1        
1103   Nouna-Babekolon            142         143          6.65       4            0        
1104   Nouna-Damandigui           142         148          9.24       4            1        
1105   Nouna-Koredougou           142         154          8.3        4            1        
1106   Nouna-Soin                 142         158          6.9        1            1        
1107   Dembelela-Babekolon        110         143          11.1       4            0        
1108   Kemena-Babekolon           119         143          11.88      4            0        
1109   Babekolon-Koredougou       143         154          4.1        4            1        
1110   Sikoro-Bagala              132         144          7.1        4            1        
1111   Bagala-Kerena              144         152          4.33       2            1        
1112   Bagala-Tonkoroni           144         159          7.7        2            1        
1113   Lemini-BironBadala         125         145          5.1        4            1        
1114   BironBadala-NokuyMossi     145         162          13.6       4            1        
1115   Bissau-Konkuini            146         153          5.5        4            1        
1116   Bissau-Mourdie             146         156          8.29       4            1        
1117   Bagala-Bonkuy              144         147          2.9        4            1        
1118   Bissau-Damandigui          146         148          4.22       4            1        
1119   Damandigui-Mourdie         148         156          4.71       4            1        
1120   Damandigui-Koussiri        148         161          5.5        4            1        
1121   Nouna-Hinkuy               142         149          6.8        4            1        
1122   Hinkuy-Tonkoroni           149         159          3.8        4            1        
1123   Hinkuy-Koussiri            149         161          4.9        4            1        
1124   Lekuy-Kamiankoro           124         150          18.45      4            1        
1125   Sikoro-Kamiankoro          132         150          7.41       4            1        
1126   Bagala-Kamiankoro          144         150          7.13       4            1        
1127   Tebere-Kansara             136         151          4.8        4            1        
1128   Hinkuy-Kansara             149         151          3.6        4            1        
1129   Kamiankoro-Kerena          150         152          6.1        4            1        
1130   Nouna-Konkuini             142         153          17.7       4            1        
1131   Hinkuy-Konkuini            149         153          4.4        4            1        
1132   Kansara-Konkuini           151         153          2.2        4            1        
1133   Kemena-Koredougou          119         154          18.1       4            0        
1134   Babekolon-Koredougou       143         154          4.1        4            0        
1135   Koredougou-Soin            154         158          14.1       4            1        
1136   Koredougou-Sokoro          154         163          7.1        4            0        
1137   Lemini-Moinsi              125         155          1.9        4            1        
1138   Sirakorosso-Moinsi         135         155          3          4            1        
1139   BironBadala-Moinsi         145         155          5.9        4            1        
1140   Dionkongo-Mourdie          114         156          5.34       4            1        
1141   Ouette-Mourdie             127         156          15.72      4            0        
1142   Damandigui-Mourdie         148         156          5.4        4            1        
1143   Cisse-Sere                 108         157          9.6        4            1        
