hh_id               itime                                     day
10001          10, 10, 50                69(14), 149(30), 229(46)
10002         10, 10, 350                68(14), 148(30), 228(46)
10003          10, 10, 75                67(14), 147(30), 227(46)
10004         10, 10, 400                66(14), 146(30), 226(46)
10005         10, 10, 175                70(14), 150(30), 230(46)
10006         10, 10, 125                69(14), 149(30), 229(46)
10007          10, 10, 50                68(14), 148(30), 228(46)
10008          10, 10, 25                53(11), 133(27), 213(43)
10009         10, 10, 100                67(14), 147(30), 227(46)
10010         10, 10, 200                66(14), 146(30), 226(46)
10011         10, 10, 200                70(14), 150(30), 230(46)
10012         10, 10, 175                69(14), 149(30), 229(46)
10013          10, 10, 50                68(14), 148(30), 228(46)
10014          10, 10, 50                59(12), 139(28), 219(44)
10015         10, 10, 550                67(14), 147(30), 227(46)
10016         10, 10, 200                66(14), 146(30), 226(46)
10017         10, 10, 175                70(14), 150(30), 230(46)
10018         10, 10, 200                69(14), 149(30), 229(46)
10019         10, 10, 175                68(14), 148(30), 228(46)
10020         10, 10, 200                67(14), 147(30), 227(46)
10021         10, 10, 150                62(13), 142(29), 222(45)
10022         10, 10, 300                66(14), 146(30), 226(46)
10023         10, 10, 400                61(13), 141(29), 221(45)
10024         10, 10, 125                65(13), 145(29), 225(45)
10025         10, 10, 250                64(13), 144(29), 224(45)
10026          10, 10, 75                63(13), 143(29), 223(45)
10027         10, 10, 125                58(12), 138(28), 218(44)
10028         10, 10, 325                62(13), 142(29), 222(45)
10029         10, 10, 200                61(13), 141(29), 221(45)
10030          10, 50, 10                79(16), 159(32), 239(48)
10031          10, 75, 10                78(16), 158(32), 238(48)
10032         10, 150, 10                77(16), 157(32), 237(48)
10033         10, 175, 10                76(16), 156(32), 236(48)
10034         10, 125, 10                80(16), 160(32), 240(48)
10035          10, 75, 10                79(16), 159(32), 239(48)
10036          10, 50, 10                78(16), 158(32), 238(48)
10037         10, 150, 10                77(16), 157(32), 237(48)
10038         10, 200, 10                76(16), 156(32), 236(48)
10039         10, 125, 10                72(15), 152(31), 232(47)
10040         10, 125, 10                71(15), 151(31), 231(47)
10041          10, 75, 10                75(15), 155(31), 235(47)
10042         10, 225, 10                74(15), 154(31), 234(47)
10043         10, 125, 10                73(15), 153(31), 233(47)
10044         10, 100, 10                72(15), 152(31), 232(47)
10045         10, 150, 10                71(15), 151(31), 231(47)
10046          10, 50, 10                75(15), 155(31), 235(47)
10047         10, 125, 10                74(15), 154(31), 234(47)
10048         10, 150, 10                73(15), 153(31), 233(47)
10049          10, 50, 10                72(15), 152(31), 232(47)
10050         10, 150, 10                71(15), 151(31), 231(47)
10051         10, 300, 10                59(12), 139(28), 219(44)
10052          10, 50, 10                58(12), 138(28), 218(44)
10053          10, 75, 10                57(12), 137(28), 217(44)
10054         10, 100, 10                52(11), 132(27), 212(43)
10055         10, 425, 10                51(11), 131(27), 211(43)
10056         10, 175, 10                55(11), 135(27), 215(43)
10057         10, 150, 10                54(11), 134(27), 214(43)
10058         10, 475, 10                53(11), 133(27), 213(43)
10059          10, 25, 10                52(11), 132(27), 212(43)
10060         10, 350, 10                51(11), 131(27), 211(43)
10061         10, 175, 10                55(11), 135(27), 215(43)
10062         10, 100, 10                54(11), 134(27), 214(43)
10063         10, 325, 10                53(11), 133(27), 213(43)
10064          10, 25, 10                52(11), 132(27), 212(43)
10065         10, 100, 10                51(11), 131(27), 211(43)
10066         475, 10, 10                  12(3), 92(19), 172(35)
10067         525, 10, 10                  11(3), 91(19), 171(35)
10068         175, 10, 10                  15(3), 95(19), 175(35)
10069          50, 10, 10                  14(3), 94(19), 174(35)
10070         100, 10, 10                  13(3), 93(19), 173(35)
10071         125, 10, 10                  10(2), 90(18), 170(34)
10072         225, 10, 10                  12(3), 92(19), 172(35)
10073         350, 10, 10                   9(2), 89(18), 169(34)
10074         550, 10, 10                  11(3), 91(19), 171(35)
10075         150, 10, 10                   8(2), 88(18), 168(34)
10076         175, 10, 10                   7(2), 87(18), 167(34)
10077         150, 10, 10                   6(2), 86(18), 166(34)
10078         325, 10, 10                  10(2), 90(18), 170(34)
10079         250, 10, 10                   9(2), 89(18), 169(34)
10080         200, 10, 10                   8(2), 88(18), 168(34)
10081         250, 10, 10                   7(2), 87(18), 167(34)
10082          25, 10, 10                   6(2), 86(18), 166(34)
10083         175, 10, 10                  10(2), 90(18), 170(34)
10084         150, 10, 10                   9(2), 89(18), 169(34)
10085         250, 10, 10                   8(2), 88(18), 168(34)
10086         250, 10, 10                   7(2), 87(18), 167(34)
10087         275, 10, 10                   6(2), 86(18), 166(34)
10088         200, 10, 10                  10(2), 90(18), 170(34)
10089          25, 10, 10                   9(2), 89(18), 169(34)
10090         125, 10, 10                   8(2), 88(18), 168(34)
10091         100, 10, 10                   7(2), 87(18), 167(34)
10092         475, 10, 10                   6(2), 86(18), 166(34)
10093         175, 10, 10                   4(1), 84(17), 164(33)
10094         350, 10, 10                   3(1), 83(17), 163(33)
10095          75, 10, 10                   2(1), 82(17), 162(33)
10096         175, 10, 10                48(10), 128(26), 208(42)
10097         225, 10, 10                47(10), 127(26), 207(42)
10098         275, 10, 10                46(10), 126(26), 206(42)
10099         225, 10, 10                 43(9), 123(25), 203(41)
10100         200, 10, 10                 42(9), 122(25), 202(41)
10101         225, 10, 10                 41(9), 121(25), 201(41)
10102         225, 10, 10                 45(9), 125(25), 205(41)
10103         250, 10, 10                 44(9), 124(25), 204(41)
10104         150, 10, 10                 43(9), 123(25), 203(41)
10105         125, 10, 10                 42(9), 122(25), 202(41)
10106         325, 10, 10                 41(9), 121(25), 201(41)
10107         10, 10, 275                 45(9), 125(25), 205(41)
10108         10, 10, 150                 44(9), 124(25), 204(41)
10109         10, 10, 125                 43(9), 123(25), 203(41)
10110         10, 10, 150                 42(9), 122(25), 202(41)
10111         10, 10, 200                 41(9), 121(25), 201(41)
10112         10, 10, 225                 45(9), 125(25), 205(41)
10113         10, 10, 100                 44(9), 124(25), 204(41)
10114         10, 10, 175                 43(9), 123(25), 203(41)
10115         10, 10, 200                 42(9), 122(25), 202(41)
10116         10, 10, 150                 41(9), 121(25), 201(41)
