hh_id               itime                                     day      Interviewer ID
10001          10, 10, 50                69(14), 149(30), 229(46)             3, 3, 3
10002         10, 10, 350                68(14), 148(30), 228(46)             1, 3, 3
10003          75, 10, 10                227(46), 67(14), 147(30)             2, 3, 3
10004         10, 10, 400                146(30), 66(14), 226(46)            3, 4, 20
10005         10, 10, 175                150(30), 70(14), 230(46)             1, 2, 3
10006         10, 125, 10                149(30), 229(46), 69(14)             2, 2, 3
10007          10, 10, 50                68(14), 148(30), 228(46)             1, 1, 2
10008          25, 10, 10                213(43), 53(11), 133(27)             2, 3, 3
10009         10, 10, 100                147(30), 67(14), 227(46)             1, 2, 2
10010         10, 10, 200                66(14), 146(30), 226(46)             1, 3, 3
10011         10, 200, 10                70(14), 230(46), 150(30)             2, 2, 3
10012         10, 10, 175                69(14), 149(30), 229(46)             2, 2, 2
10013          10, 50, 10                148(30), 228(46), 68(14)             2, 2, 3
10014          50, 10, 10                219(44), 59(12), 139(28)             2, 3, 4
10015         10, 10, 550                147(30), 67(14), 227(46)            2, 3, 20
10016         200, 10, 10                226(46), 146(30), 66(14)             1, 2, 3
10017         175, 10, 10                230(46), 70(14), 150(30)             1, 2, 2
10018         200, 10, 10                229(46), 69(14), 149(30)             1, 2, 2
10019         175, 10, 10                228(46), 148(30), 68(14)             1, 2, 3
10020         200, 10, 10                227(46), 147(30), 67(14)             1, 2, 3
10021         10, 10, 150                142(29), 62(13), 222(45)             2, 3, 3
10022         10, 300, 10                146(30), 226(46), 66(14)             2, 2, 3
10023         10, 10, 400                141(29), 61(13), 221(45)            2, 3, 20
10024         125, 10, 10                225(45), 145(29), 65(13)             1, 2, 3
10025         10, 10, 250                64(13), 144(29), 224(45)             1, 1, 3
10026          75, 10, 10                223(45), 143(29), 63(13)             1, 2, 3
10027         10, 10, 125                58(12), 138(28), 218(44)             4, 4, 4
10028         10, 10, 325                62(13), 142(29), 222(45)             2, 2, 2
10029         10, 200, 10                141(29), 221(45), 61(13)             1, 2, 3
10030          10, 50, 10                79(16), 159(32), 239(48)             1, 1, 1
10031          10, 75, 10                78(16), 158(32), 238(48)             1, 1, 1
10032         10, 150, 10                77(16), 157(32), 237(48)             1, 1, 1
10033         10, 10, 175                236(48), 76(16), 156(32)             1, 2, 2
10034         10, 125, 10                80(16), 160(32), 240(48)             1, 1, 1
10035          10, 75, 10                79(16), 159(32), 239(48)             1, 1, 1
10036          10, 50, 10                78(16), 158(32), 238(48)             1, 1, 1
10037         10, 150, 10                77(16), 157(32), 237(48)             1, 1, 1
10038         10, 200, 10                76(16), 156(32), 236(48)             1, 1, 1
10039         10, 10, 125                232(47), 72(15), 152(31)             1, 2, 3
10040         10, 10, 125                71(15), 231(47), 151(31)             1, 1, 4
10041          10, 75, 10                235(47), 155(31), 75(15)             1, 2, 3
10042         10, 10, 225                74(15), 234(47), 154(31)             1, 1, 3
10043         10, 10, 125                233(47), 73(15), 153(31)             1, 2, 2
10044         10, 10, 100                232(47), 72(15), 152(31)             1, 2, 2
10045         10, 10, 150                71(15), 231(47), 151(31)             1, 1, 4
10046          10, 10, 50                235(47), 75(15), 155(31)             1, 2, 2
10047         10, 10, 125                234(47), 74(15), 154(31)             1, 2, 3
10048         10, 10, 150                73(15), 233(47), 153(31)             1, 1, 2
10049          10, 50, 10                72(15), 152(31), 232(47)             1, 1, 1
10050         10, 150, 10                71(15), 151(31), 231(47)             1, 1, 1
10051         300, 10, 10                139(28), 219(44), 59(12)             1, 1, 2
10052          50, 10, 10                138(28), 218(44), 58(12)             1, 1, 2
10053          10, 75, 10                57(12), 137(28), 217(44)             1, 1, 1
10054         10, 100, 10                212(43), 132(27), 52(11)             1, 2, 3
10055         10, 10, 425                211(43), 51(11), 131(27)            1, 3, 20
10056         10, 10, 175                55(11), 215(43), 135(27)             1, 1, 2
10057         10, 150, 10                214(43), 134(27), 54(11)             1, 2, 3
10058         10, 10, 475                213(43), 53(11), 133(27)            1, 2, 20
10059          10, 25, 10                212(43), 132(27), 52(11)             1, 2, 3
10060         10, 10, 350                211(43), 51(11), 131(27)             1, 2, 3
10061         10, 10, 175                55(11), 215(43), 135(27)             1, 1, 2
10062         10, 100, 10                54(11), 134(27), 214(43)             1, 1, 1
10063         10, 10, 325                213(43), 53(11), 133(27)             1, 2, 2
10064          10, 25, 10                212(43), 132(27), 52(11)             1, 2, 3
10065         10, 10, 100                211(43), 51(11), 131(27)             1, 2, 2
10066         10, 10, 475                  92(19), 172(35), 12(3)            1, 1, 20
10067         10, 10, 525                  91(19), 171(35), 11(3)            1, 1, 20
10068         175, 10, 10                  15(3), 95(19), 175(35)             1, 1, 1
10069          50, 10, 10                  14(3), 94(19), 174(35)             1, 1, 1
10070         100, 10, 10                  13(3), 93(19), 173(35)             1, 1, 1
10071         10, 10, 125                  90(18), 170(34), 10(2)             1, 1, 3
10072         225, 10, 10                  12(3), 92(19), 172(35)             1, 1, 1
