Error in week 1 plans: 105 groups vs 5x20 interviewers=100
Group 	 Work time
1	390
2	315
3	240
4	565
5	415
6	515
7	290
8	340
9	375
10	450
11	175
12	450
13	425
14	438
15	438
16	474
17	470
18	470
19	450
20	480
21	470
22	470
23	470
24	470
25	470
26	470
27	470
28	470
29	470
30	470
31	470
32	470
33	470
34	470
35	470
36	470
37	470
38	470
39	470
40	470
41	470
42	470
43	470
44	470
45	470
46	470
47	386
48	386
49	386
50	386
51	386
52	386
53	386
54	386
55	386
56	386
57	386
58	386
59	386
60	386
61	386
62	386
63	386
64	386
65	386
66	386
67	386
68	386
69	386
70	386
71	476
72	463
73	463
74	463
75	463
76	463
77	463
78	463
79	463
80	463
81	463
82	463
83	463
84	463
85	463
86	463
87	463
88	463
89	463
90	463
91	463
92	463
93	463
94	463
95	463
96	479
97	476
98	476
99	476
100	476
101	476
102	476
103	413
104	476
105	476
 ... finished
 
