hh_id               itime                                     day      Interviewer ID
10001          50, 10, 10                230(46), 68(14), 146(30)             2, 5, 6
10002         350, 10, 10                228(46), 68(14), 146(30)             1, 5, 6
10003          75, 10, 10                230(46), 68(14), 146(30)             2, 5, 6
10004     356, 44, 10, 10       227(46), 228(46), 68(14), 146(30)          1, 1, 5, 6
10005         175, 10, 10                228(46), 68(14), 146(30)             2, 5, 6
10006         125, 10, 10                229(46), 68(14), 146(30)             2, 5, 6
10007          50, 10, 10                230(46), 68(14), 146(30)             2, 5, 6
10008          25, 10, 10                212(43), 54(11), 135(27)             3, 5, 6
10009      74, 26, 10, 10       229(46), 230(46), 68(14), 146(30)          2, 2, 5, 6
10010         200, 10, 10                230(46), 68(14), 146(30)             1, 5, 6
10011         200, 10, 10                230(46), 68(14), 146(30)             1, 5, 6
10012     103, 72, 10, 10       228(46), 229(46), 68(14), 146(30)          2, 2, 5, 6
10013      38, 12, 10, 10       230(46), 226(46), 68(14), 146(30)          2, 3, 5, 6
10014          50, 10, 10                216(44), 59(12), 139(28)             3, 5, 6
10015     453, 97, 10, 10       226(46), 227(46), 68(14), 146(30)          1, 1, 5, 6
10016     106, 94, 10, 10       226(46), 227(46), 68(14), 146(30)          2, 2, 5, 6
10017         175, 10, 10                227(46), 68(14), 148(30)             2, 5, 6
10018         200, 10, 10                226(46), 70(14), 148(30)             2, 5, 6
10019         175, 10, 10                228(46), 70(14), 148(30)             2, 5, 6
10020     53, 147, 10, 10       230(46), 226(46), 70(14), 147(30)          1, 2, 5, 6
10021         150, 10, 10                221(45), 62(13), 141(29)             3, 5, 6
10022     59, 241, 10, 10       228(46), 229(46), 70(14), 147(30)          1, 1, 5, 6
10023     37, 363, 10, 10       225(45), 221(45), 62(13), 141(29)          1, 2, 5, 6
10024      54, 71, 10, 10       221(45), 222(45), 62(13), 141(29)          3, 3, 5, 6
10025     201, 49, 10, 10       225(45), 221(45), 62(13), 141(29)          2, 3, 5, 6
10026          75, 10, 10                222(45), 62(13), 141(29)             3, 5, 6
10027         125, 10, 10                220(44), 59(12), 139(28)             2, 5, 6
10028    114, 211, 10, 10       222(45), 223(45), 62(13), 141(29)          2, 2, 5, 6
10029         200, 10, 10                221(45), 62(13), 141(29)             3, 5, 6
10030          50, 10, 10                157(32), 78(16), 238(48)             3, 5, 6
10031          75, 10, 10                157(32), 78(16), 238(48)             3, 5, 6
10032         150, 10, 10                156(32), 78(16), 238(48)             3, 5, 6
10033         175, 10, 10                159(32), 78(16), 238(48)             2, 5, 6
10034      94, 31, 10, 10       156(32), 157(32), 78(16), 238(48)          3, 3, 5, 6
10035          75, 10, 10                157(32), 78(16), 237(48)             3, 5, 6
10036          50, 10, 10                157(32), 78(16), 237(48)             3, 5, 6
10037         150, 10, 10                160(32), 78(16), 237(48)             2, 5, 6
10038     155, 45, 10, 10       157(32), 158(32), 78(16), 237(48)          2, 2, 5, 6
10039         125, 10, 10                153(31), 75(15), 235(47)             2, 5, 5
10040      62, 63, 10, 10       153(31), 154(31), 75(15), 235(47)          2, 2, 5, 5
10041          75, 10, 10                155(31), 75(15), 235(47)             2, 5, 5
10042     187, 38, 10, 10       155(31), 151(31), 75(15), 235(47)          1, 2, 5, 5
10043         125, 10, 10                154(31), 75(15), 235(47)             2, 5, 5
10044         100, 10, 10                155(31), 75(15), 235(47)             2, 5, 5
