hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,,,,,,,
10001,02-002-A-0,1,2,102,50,10,10,70,,,,,
10002,02-015-A-0,1,14,102,350,10,10,370,,,,,
10003,02-021-A-0,1,3,102,75,10,10,95,,,,,
10004,02-026-A-0,1,16,102,400,10,10,420,,,,,
10005,02-027-A-0,1,7,102,175,10,10,195,,,,,
10006,02-030-A-0,1,5,102,125,10,10,145,,,,,
10007,02-030-B-0,1,2,102,50,10,10,70,,,,,
10008,02-036-A-0,1,1,102,25,10,10,45,,,,,
10009,02-047-A-0,1,4,102,100,10,10,120,,,,,
10010,02-060-A-0,1,8,102,200,10,10,220,,,,,
10011,02-075-A-0,1,8,102,200,10,10,220,,,,,
10012,02-097-A-0,1,7,102,175,10,10,195,,,,,
10013,02-099-A-0,1,2,102,50,10,10,70,,,,,
10014,02-111-A-0,1,2,102,50,10,10,70,,,,,
10015,02-112-A-0,1,22,102,550,10,10,570,,,,,
10016,02-121-A-0,1,8,102,200,10,10,220,,,,,
10017,02-121-B-0,1,7,102,175,10,10,195,,,,,
10018,02-129-B-0,1,8,102,200,10,10,220,,,,,
10019,02-134-A-0,1,7,102,175,10,10,195,,,,,
10020,02-142-A-0,1,8,102,200,10,10,220,,,,,
10021,02-170-M-0,1,6,102,150,10,10,170,,,,,
10022,02-172-A-0,1,12,102,300,10,10,320,,,,,
10023,02-175-A-0,1,16,102,400,10,10,420,,,,,
10024,02-177-A-0,1,5,102,125,10,10,145,,,,,
10025,02-179-A-0,1,10,102,250,10,10,270,,,,,
10026,02-194-A-0,1,3,102,75,10,10,95,,,,,
10027,02-197-A-0,1,5,102,125,10,10,145,,,,,
10028,02-199-A-0,1,13,102,325,10,10,345,,,,,
10029,02-312-A-0,1,8,102,200,10,10,220,,,,,
10030,03-026-A-0,1,2,103,50,10,10,70,,,,,
10031,03-027-A-0,1,3,103,75,10,10,95,,,,,
10032,03-036-A-0,1,6,103,150,10,10,170,,,,,
10033,03-039-A-0,1,7,103,175,10,10,195,,,,,
10034,03-064-A-0,1,5,103,125,10,10,145,,,,,
10035,03-071-A-0,1,3,103,75,10,10,95,,,,,
10036,04-007-A-0,1,2,104,50,10,10,70,,,,,
10037,04-023-A-0,1,6,104,150,10,10,170,,,,,
10038,04-024-A-0,1,8,104,200,10,10,220,,,,,
10039,04-026-A-0,1,5,104,125,10,10,145,,,,,
10040,04-051-A-0,1,5,104,125,10,10,145,,,,,
10041,04-055-A-0,1,3,104,75,10,10,95,,,,,
10042,04-062-A-0,1,9,104,225,10,10,245,,,,,
10043,04-065-A-0,1,5,104,125,10,10,145,,,,,
10044,04-076-A-0,1,4,104,100,10,10,120,,,,,
10045,04-158-A-0,1,6,104,150,10,10,170,,,,,
10046,04-170-A-0,1,2,104,50,10,10,70,,,,,
10047,04-176-A-0,1,5,104,125,10,10,145,,,,,
10048,04-179-A-0,1,6,104,150,10,10,170,,,,,
10049,04-187-A-0,1,2,104,50,10,10,70,,,,,
10050,04-203-A-0,1,6,104,150,10,10,170,,,,,
10051,06-004-A-0,1,12,106,300,10,10,320,,,,,
10052,06-006-A-0,1,2,106,50,10,10,70,,,,,
10053,06-009-A-0,1,3,106,75,10,10,95,,,,,
10054,06-012-A-0,1,4,106,100,10,10,120,,,,,
10055,06-020-A-0,1,17,106,425,10,10,445,,,,,
10056,06-026-A-0,1,7,106,175,10,10,195,,,,,
10057,06-027-A-0,1,6,106,150,10,10,170,,,,,
10058,06-032-A-0,1,19,106,475,10,10,495,,,,,
10059,06-038-G-0,1,1,106,25,10,10,45,,,,,
10060,06-039-C-0,1,14,106,350,10,10,370,,,,,
10061,06-043-A-0,1,7,106,175,10,10,195,,,,,
10062,06-047-A-0,1,4,106,100,10,10,120,,,,,
10063,06-049-A-0,1,13,106,325,10,10,345,,,,,
10064,06-057-C-0,1,1,106,25,10,10,45,,,,,
10065,06-087-A-0,1,4,106,100,10,10,120,,,,,
10066,08-001-A-0,1,19,108,475,10,10,495,,,,,
10067,08-006-A-0,1,21,108,525,10,10,545,,,,,
10068,08-008-B-0,1,7,108,175,10,10,195,,,,,
10069,08-009-E-0,1,2,108,50,10,10,70,,,,,
10070,08-010-B-0,1,4,108,100,10,10,120,,,,,
10071,08-016-C-0,1,5,108,125,10,10,145,,,,,
10072,08-018-D-0,1,9,108,225,10,10,245,,,,,
10073,08-021-A-0,1,14,108,350,10,10,370,,,,,
10074,08-026-A-0,1,22,108,550,10,10,570,,,,,
10075,08-028-B-0,1,6,108,150,10,10,170,,,,,
10076,08-036-A-0,1,7,108,175,10,10,195,,,,,
10077,08-038-B-0,1,6,108,150,10,10,170,,,,,
10078,08-039-A-0,1,13,108,325,10,10,345,,,,,
10079,08-047-A-0,1,10,108,250,10,10,270,,,,,
10080,08-049-A-0,1,8,108,200,10,10,220,,,,,
10081,08-054-B-0,1,10,108,250,10,10,270,,,,,
10082,08-064-C-0,1,1,108,25,10,10,45,,,,,
10083,08-073-A-0,1,7,108,175,10,10,195,,,,,
10084,08-088-A-0,1,6,108,150,10,10,170,,,,,
10085,08-112-C-0,1,10,108,250,10,10,270,,,,,
10086,08-120-A-0,1,10,108,250,10,10,270,,,,,
10087,08-132-A-0,1,11,108,275,10,10,295,,,,,
10088,08-134-A-0,1,8,108,200,10,10,220,,,,,
10089,08-136-A-0,1,1,108,25,10,10,45,,,,,
10090,08-137-A-0,1,5,108,125,10,10,145,,,,,
10091,08-139-A-0,1,4,108,100,10,10,120,,,,,
10092,08-146-A-0,1,19,108,475,10,10,495,,,,,
10093,08-154-A-0,1,7,108,175,10,10,195,,,,,
10094,08-160-A-0,1,14,108,350,10,10,370,,,,,
10095,08-161-A-0,1,3,108,75,10,10,95,,,,,
10096,09-006-A-0,1,7,109,175,10,10,195,,,,,
10097,09-019-A-0,1,9,109,225,10,10,245,,,,,
10098,09-022-A-0,1,11,109,275,10,10,295,,,,,
10099,09-027-A-0,1,9,109,225,10,10,245,,,,,
10100,09-037-A-0,1,8,109,200,10,10,220,,,,,
10101,09-045-A-0,1,9,109,225,10,10,245,,,,,
10102,09-050-A-0,1,9,109,225,10,10,245,,,,,
10103,09-093-A-0,1,10,109,250,10,10,270,,,,,
10104,09-096-A-0,1,6,109,150,10,10,170,,,,,
10105,09-115-A-0,1,5,109,125,10,10,145,,,,,
10106,09-117-A-0,1,13,109,325,10,10,345,,,,,
10107,11-016-A-0,1,11,111,275,10,10,295,,,,,
10108,11-023-A-0,1,6,111,150,10,10,170,,,,,
10109,11-034-A-0,1,5,111,125,10,10,145,,,,,
10110,11-062-A-0,1,6,111,150,10,10,170,,,,,
10111,11-069-A-0,1,8,111,200,10,10,220,,,,,
10112,11-074-A-0,1,9,111,225,10,10,245,,,,,
10113,11-077-A-0,1,4,111,100,10,10,120,,,,,
10114,11-078-A-0,1,7,111,175,10,10,195,,,,,
10115,11-083-A-0,1,8,111,200,10,10,220,,,,,
10116,11-185-A-0,1,6,111,150,10,10,170,,,,,
10117,11-190-A-0,1,5,111,125,10,10,145,,,,,
10118,11-197-A-0,1,19,111,475,10,10,495,,,,,
10119,11-198-A-0,1,5,111,125,10,10,145,,,,,
10120,12-008-A-0,1,26,112,650,10,10,670,,,,,
10121,12-010-A-0,1,7,112,175,10,10,195,,,,,
10122,12-012-C-0,1,4,112,100,10,10,120,,,,,
10123,12-028-A-0,1,18,112,450,10,10,470,,,,,
10124,12-042-A-0,1,31,112,775,10,10,795,,,,,
10125,12-069-A-0,1,14,112,350,10,10,370,,,,,
10126,12-085-A-0,1,9,112,225,10,10,245,,,,,
10127,13-019-A-0,1,4,113,100,10,10,120,,,,,
10128,13-034-B-0,1,11,113,275,10,10,295,,,,,
10129,13-050-A-0,1,1,113,25,10,10,45,,,,,
10130,13-054-A-0,1,5,113,125,10,10,145,,,,,
10131,13-063-B-0,1,19,113,475,10,10,495,,,,,
10132,13-070-A-0,1,1,113,25,10,10,45,,,,,
10133,13-086-A-0,1,9,113,225,10,10,245,,,,,
10134,13-092-B-0,1,18,113,450,10,10,470,,,,,
10135,13-095-A-0,1,11,113,275,10,10,295,,,,,
10136,13-104-A-0,1,3,113,75,10,10,95,,,,,
10137,13-119-A-0,1,3,113,75,10,10,95,,,,,
10138,17-001-A-0,1,7,117,175,10,10,195,,,,,
10139,17-009-A-0,1,6,117,150,10,10,170,,,,,
10140,17-032-A-0,1,6,117,150,10,10,170,,,,,
10141,17-047-A-0,1,13,117,325,10,10,345,,,,,
10142,17-059-A-0,1,1,117,25,10,10,45,,,,,
10143,17-061-B-0,1,17,117,425,10,10,445,,,,,
10144,17-063-A-0,1,9,117,225,10,10,245,,,,,
10145,17-067-A-0,1,5,117,125,10,10,145,,,,,
10146,17-077-A-0,1,4,117,100,10,10,120,,,,,
10147,17-119-B-0,1,5,117,125,10,10,145,,,,,
10148,17-467-A-0,1,6,117,150,10,10,170,,,,,
10149,17-487-A-0,1,9,117,225,10,10,245,,,,,
10150,17-492-A-0,1,7,117,175,10,10,195,,,,,
10151,17-511-A-0,1,3,117,75,10,10,95,,,,,
10152,17-524-A-0,1,8,117,200,10,10,220,,,,,
10153,17-536-A-0,1,10,117,250,10,10,270,,,,,
10154,17-537-A-0,1,1,117,25,10,10,45,,,,,
10155,17-540-B-0,1,6,117,150,10,10,170,,,,,
10156,17-548-A-0,1,17,117,425,10,10,445,,,,,
10157,17-589-A-0,1,6,117,150,10,10,170,,,,,
10158,17-592-B-0,1,3,117,75,10,10,95,,,,,
10159,17-621-A-0,1,11,117,275,10,10,295,,,,,
10160,17-625-B-0,1,4,117,100,10,10,120,,,,,
10161,17-632-A-0,1,4,117,100,10,10,120,,,,,
10162,17-637-A-0,1,3,117,75,10,10,95,,,,,
10163,17-638-A-0,1,3,117,75,10,10,95,,,,,
10164,17-655-A-0,1,6,117,150,10,10,170,,,,,
10165,17-661-A-0,1,16,117,400,10,10,420,,,,,
10166,17-665-A-0,1,4,117,100,10,10,120,,,,,
10167,17-670-A-0,1,3,117,75,10,10,95,,,,,
10168,17-673-A-0,1,6,117,150,10,10,170,,,,,
10169,17-674-A-0,1,1,117,25,10,10,45,,,,,
10170,17-685-A-0,1,4,117,100,10,10,120,,,,,
10171,17-690-A-0,1,9,117,225,10,10,245,,,,,
10172,17-691-A-0,1,7,117,175,10,10,195,,,,,
10173,17-701-A-0,1,2,117,50,10,10,70,,,,,
10174,17-706-A-0,1,1,117,25,10,10,45,,,,,
10175,17-708-A-0,1,5,117,125,10,10,145,,,,,
10176,17-714-A-0,1,5,117,125,10,10,145,,,,,
10177,18-009-A-0,1,11,118,275,10,10,295,,,,,
10178,18-013-A-0,1,12,118,300,10,10,320,,,,,
10179,18-014-A-0,1,12,118,300,10,10,320,,,,,
10180,18-034-A-0,1,16,118,400,10,10,420,,,,,
10181,18-052-A-0,1,17,118,425,10,10,445,,,,,
10182,18-056-A-0,1,15,118,375,10,10,395,,,,,
10183,18-064-A-0,1,17,118,425,10,10,445,,,,,
10184,18-072-A-0,1,14,118,350,10,10,370,,,,,
10185,18-075-C-0,1,6,118,150,10,10,170,,,,,
10186,18-083-A-0,1,5,118,125,10,10,145,,,,,
10187,18-084-B-0,1,1,118,25,10,10,45,,,,,
10188,18-085-A-0,1,5,118,125,10,10,145,,,,,
10189,18-087-A-0,1,5,118,125,10,10,145,,,,,
10190,18-088-A-0,1,6,118,150,10,10,170,,,,,
10191,18-099-A-0,1,9,118,225,10,10,245,,,,,
10192,18-107-A-0,1,4,118,100,10,10,120,,,,,
10193,18-110-B-0,1,3,118,75,10,10,95,,,,,
10194,18-112-A-0,1,3,118,75,10,10,95,,,,,
10195,18-123-A-0,1,8,118,200,10,10,220,,,,,
10196,18-137-A-0,1,7,118,175,10,10,195,,,,,
10197,18-159-A-0,1,10,118,250,10,10,270,,,,,
10198,18-167-B-0,1,2,118,50,10,10,70,,,,,
10199,18-168-A-0,1,7,118,175,10,10,195,,,,,
10200,18-173-A-0,1,9,118,225,10,10,245,,,,,
10201,18-177-A-0,1,12,118,300,10,10,320,,,,,
10202,18-178-A-0,1,25,118,625,10,10,645,,,,,
10203,18-189-A-0,1,6,118,150,10,10,170,,,,,
10204,18-204-A-0,1,4,118,100,10,10,120,,,,,
10205,18-206-A-0,1,3,118,75,10,10,95,,,,,
10206,18-225-A-0,1,9,118,225,10,10,245,,,,,
10207,18-246-A-0,1,7,118,175,10,10,195,,,,,
10208,18-253-B-0,1,1,118,25,10,10,45,,,,,
10209,18-258-A-0,1,4,118,100,10,10,120,,,,,
10210,18-273-A-0,1,14,118,350,10,10,370,,,,,
10211,18-283-A-0,1,5,118,125,10,10,145,,,,,
10212,18-293-A-0,1,6,118,150,10,10,170,,,,,
10213,18-297-A-0,1,7,118,175,10,10,195,,,,,
10214,18-302-A-0,1,3,118,75,10,10,95,,,,,
10215,18-324-A-0,1,6,118,150,10,10,170,,,,,
10216,19-021-A-0,1,7,119,175,10,10,195,,,,,
10217,19-035-A-0,1,13,119,325,10,10,345,,,,,
10218,19-048-B-0,1,16,119,400,10,10,420,,,,,
10219,19-064-A-0,1,15,119,375,10,10,395,,,,,
10220,19-067-A-0,1,15,119,375,10,10,395,,,,,
