Frame PAW    isLEFT      WHEEL
   6       0.0000 0      +0.0000
   7       0.0000 0      +0.0000
   8       0.0000 0      +0.0000
   9       0.0000 0      +0.0000
  10       0.0000 0      +0.0000
  11       0.0000 0      +0.0000
  12       0.0000 0      +0.0000
  13       0.0000 0      +0.0000
  14       0.0000 0      +0.0000
  15       0.0000 0      +0.0000
  16       0.0000 0      +0.0000
  17       0.0000 0      +0.0000
  18       0.0000 0      +0.0000
  19       0.0000 0      +0.0000
  20       0.0000 0      +0.0000
  21       0.0000 0      +0.0000
  22       0.0000 0      +0.0000
  23       0.0000 0      +0.0000
  24       0.0000 0      +0.0000
  25       0.0000 0      +0.0000
  26       0.0000 0      +0.0000
  27       0.0000 0      +0.0000
  28       0.0000 0      +0.0000
  29       0.0000 0      +0.0000
  30       0.0000 0      +0.0000
  31       0.0000 0      +0.0000
  32       0.0000 0      +0.0000
  33       0.0000 0      +0.0000
  34       0.0000 0      +0.0000
  35       0.0000 0      +0.0000
  36       0.0000 0      +0.0000
  37       0.0000 0      +0.0000
  38       0.0000 0      +0.0000
  39       0.0000 0      +0.0000
  40       0.0000 0      +0.0000
  41       0.0000 0      +0.0000
  42       0.0000 0      +0.0000
  43       0.0000 0      +0.0000
  44       0.0000 0      +0.0000
  45       0.0000 0      +0.0000
  46       0.0000 0      +0.0000
  47       0.0000 0      +0.0000
  48       0.0000 0      +0.0000
  49       0.0000 0      +0.0000
  50       0.0000 0      +0.0000
  51       0.0000 0      +0.0000
  52       0.0000 0      +0.0000
  53       0.0000 0      +0.0000
  54       0.0000 0      +0.0000
  55       0.0000 0      +0.0000
  56       0.0000 0      +0.0000
  57       0.0000 0      +0.0000
  58       0.0000 0      +0.0000
  59       0.0000 0      +0.0000
  60       0.0000 0      +0.0000
  61       0.0000 0      +0.0000
  62       0.0000 0      +0.0000
  63       0.0000 0      +0.0000
  64       0.0000 0      +0.0000
  65       0.0000 0      +0.0000
  66       0.0000 0      +0.0000
  67       0.0000 0      +0.0000
  68       0.0000 0      +0.0000
  69       0.0000 0      +0.0000
  70       0.0000 0      +0.0000
  71       0.0000 0      +0.0000
  72       0.0000 0      +0.0000
  73       0.0000 0      +0.0000
  74       0.0000 0      +0.0000
  75       0.0000 0      +0.0000
  76       0.0000 0      +0.0000
  77       0.0000 0      +0.0000
  78       0.0000 0      +0.0000
  79       0.0000 0      +0.0000
  80       0.0000 0      +0.0000
  81       0.0000 0      +0.0000
  82       0.0000 0      +0.0000
  83       0.0000 0      +0.0000
  84       0.0000 0      +0.0000
  85       0.0000 0      +0.0000
  86       0.0000 0      +0.0000
  87       0.0000 0      +0.0000
  88       0.0000 0      +0.0000
  89       0.0000 0      +0.0000
  90       0.0000 0      +0.0000
  91       0.0000 0      +0.0000
  92       0.0000 0      +0.0000
  93       0.0000 0      +0.0000
  94       0.0000 0      +0.0000
  95       0.0000 0      +0.0000
  96       0.0000 0      +0.0000
  97       0.0000 0      +0.0000
  98       0.0000 0      +0.0000
  99       0.0000 0      +0.0000
 100       0.0000 0      +0.0000
 101       0.0000 0      +0.0000
 102       0.0000 0      +0.0000
 103       0.0000 0      +0.0000
 104       0.0000 0      +0.0000
 105       0.0000 0      +0.0000
 106       0.0000 0      +0.0000
 107       0.0000 0      +0.0000
 108       0.0000 0      +0.0000
 109       0.0000 0      +0.0000
 110       0.0000 0      +0.0000
 111       0.0000 0      +0.0000
 112       0.0000 0      +0.0000
 113       0.0000 0      +0.0000
 114       0.0000 0      +0.0000
 115       0.0000 0      +0.0000
 116       0.0000 0      +0.0000
 117       0.0000 0      +0.0000
 118       0.0000 0      +0.0000
 119       0.0000 0      +0.0000
 120       0.0000 0      +0.0000
 121       0.0000 0      +0.0000
 122       0.0000 0      +0.0000
 123       0.0000 0      +0.0000
 124       0.0000 0      +0.0000
 125       0.1818 1      +0.0000
 126       0.0000 0      +0.0000
 127       0.0000 0      +0.0000
 128       0.0000 0      +0.0000
 129       0.0000 0      +0.0000
 130       0.0000 0      +0.0000
 131       0.0000 0      +0.0000
 132       0.0000 0      +0.0000
 133       0.0000 0      +0.0000
 134       0.0000 0      +0.0000
 135       0.0000 0      +0.0000
 136       0.0000 0      +0.0000
 137       0.0000 0      +0.0000
 138       0.0000 0      +0.0000
 139       0.0000 0      +0.0000
 140       0.0000 0      +0.0000
 141       0.0000 0      +0.0000
 142       0.0000 0      +0.0000
 143       0.0000 0      +0.0000
 144       0.0000 0      +0.0000
 145       0.0000 0      +0.0000
 146       0.0000 0      +0.0000
 147       0.0000 0      +0.0000
 148       0.0000 0      +0.0000
 149       0.0000 0      +0.0000
 150       0.0000 0      +0.0000
 151       0.0000 0      +0.0000
 152       0.0000 0      +0.0000
 153       0.4552 1      +0.0000
 154       0.4653 1      +0.0000
 155       0.6583 1      +0.0000
 156       0.5669 1      +0.0000
 157       0.7955 1      +0.0000
 158       0.5761 1      +0.0000
 159       0.7512 1      +0.0000
 160       0.5260 1      +0.0000
 161       0.0000 0      +0.0000
 162       0.0000 0      +0.0000
 163       0.0000 0      +0.0000
 164       0.0000 0      +0.0000
 165       0.0000 0      +0.0000
 166       0.0000 0      +0.0000
 167       0.0000 0      +0.0000
 168       0.0000 0      +0.0000
 169       0.0000 0      +0.0000
 170       0.0000 0      +0.0000
 171       0.0000 0      +0.0000
 172       0.0000 0      +0.0000
 173       0.0000 0      +0.0000
 174       0.0000 0      +0.0000
 175       0.0000 0      +0.0000
 176       0.0000 0      +0.0000
 177       0.0000 0      +0.0000
 178       0.0000 0      +0.0000
 179       0.0000 0      +0.0000
 180       0.0000 0      +0.0000
 181       0.0000 0      +0.0000
 182       0.0000 0      +0.0000
 183       0.0000 0      +0.0000
 184       0.0000 0      +0.0000
 185       0.0000 0      +0.0000
 186       0.0000 0      +0.0000
 187       0.0000 0      +0.0000
 188       0.0000 0      +0.0000
 189       0.0000 0      +0.0000
 190       0.0000 0      +0.0000
 191       0.0000 0      +0.0000
 192       0.0000 0      +0.0000
 193       0.0000 0      +0.0000
 194       0.0000 0      +0.0000
 195       0.0000 0      +0.0000
 196       0.0000 0      +0.0000
 197       0.0000 0      +0.0000
 198       0.0000 0      +0.0000
 199       0.0000 0      +0.0000
 200       0.0000 0      +0.0000
 201       0.0000 0      +0.0000
 202       0.0000 0      +0.0000
 203       0.0000 0      +0.0000
