hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,
10001,02-002-A-0,1,2,102,60,,
10002,02-015-A-0,1,14,102,420,,
10003,02-021-A-0,1,3,102,90,,
10004,02-026-A-0,1,16,102,480,,
10005,02-027-A-0,1,7,102,210,,
10006,02-030-A-0,1,5,102,150,,
10007,02-030-B-0,1,2,102,60,,
10008,02-036-A-0,1,1,102,30,,
10009,02-047-A-0,1,4,102,120,,
10010,02-060-A-0,1,8,102,240,,
10011,02-075-A-0,1,8,102,240,,
10012,02-097-A-0,1,7,102,210,,
10013,02-099-A-0,1,2,102,60,,
10014,02-111-A-0,1,2,102,60,,
10015,02-112-A-0,1,22,102,660,,
10016,02-121-A-0,1,8,102,240,,
10017,02-121-B-0,1,7,102,210,,
10018,02-129-B-0,1,8,102,240,,
10019,02-134-A-0,1,7,102,210,,
10020,02-142-A-0,1,8,102,240,,
10021,02-170-M-0,1,6,102,180,,
10022,02-172-A-0,1,12,102,360,,
10023,02-175-A-0,1,16,102,480,,
10024,02-177-A-0,1,5,102,150,,
10025,02-179-A-0,1,10,102,300,,
10026,02-194-A-0,1,3,102,90,,
10027,02-197-A-0,1,5,102,150,,
10028,02-199-A-0,1,13,102,390,,
10029,02-312-A-0,1,8,102,240,,
10030,03-026-A-0,1,2,103,60,,
10031,03-027-A-0,1,3,103,90,,
10032,03-036-A-0,1,6,103,180,,
10033,03-039-A-0,1,7,103,210,,
10034,03-064-A-0,1,5,103,150,,
10035,03-071-A-0,1,3,103,90,,
10036,04-007-A-0,1,2,104,60,,
10037,04-023-A-0,1,6,104,180,,
10038,04-024-A-0,1,8,104,240,,
10039,04-026-A-0,1,5,104,150,,
10040,04-051-A-0,1,5,104,150,,
10041,04-055-A-0,1,3,104,90,,
10042,04-062-A-0,1,9,104,270,,
10043,04-065-A-0,1,5,104,150,,
10044,04-076-A-0,1,4,104,120,,
10045,04-158-A-0,1,6,104,180,,
10046,04-170-A-0,1,2,104,60,,
10047,04-176-A-0,1,5,104,150,,
10048,04-179-A-0,1,6,104,180,,
10049,04-187-A-0,1,2,104,60,,
10050,04-203-A-0,1,6,104,180,,
10051,06-004-A-0,1,12,106,360,,
10052,06-006-A-0,1,2,106,60,,
10053,06-009-A-0,1,3,106,90,,
10054,06-012-A-0,1,4,106,120,,
10055,06-020-A-0,1,17,106,510,,
10056,06-026-A-0,1,7,106,210,,
10057,06-027-A-0,1,6,106,180,,
10058,06-032-A-0,1,19,106,570,,
10059,06-038-G-0,1,1,106,30,,
10060,06-039-C-0,1,14,106,420,,
10061,06-043-A-0,1,7,106,210,,
10062,06-047-A-0,1,4,106,120,,
10063,06-049-A-0,1,13,106,390,,
10064,06-057-C-0,1,1,106,30,,
10065,06-087-A-0,1,4,106,120,,
10066,08-001-A-0,1,19,108,570,,
10067,08-006-A-0,1,21,108,630,,
10068,08-008-B-0,1,7,108,210,,
10069,08-009-E-0,1,2,108,60,,
10070,08-010-B-0,1,4,108,120,,
10071,08-016-C-0,1,5,108,150,,
10072,08-018-D-0,1,9,108,270,,
10073,08-021-A-0,1,14,108,420,,
10074,08-026-A-0,1,22,108,660,,
10075,08-028-B-0,1,6,108,180,,
10076,08-036-A-0,1,7,108,210,,
10077,08-038-B-0,1,6,108,180,,
10078,08-039-A-0,1,13,108,390,,
10079,08-047-A-0,1,10,108,300,,
10080,08-049-A-0,1,8,108,240,,
10081,08-054-B-0,1,10,108,300,,
10082,08-064-C-0,1,1,108,30,,
10083,08-073-A-0,1,7,108,210,,
10084,08-088-A-0,1,6,108,180,,
10085,08-112-C-0,1,10,108,300,,
10086,08-120-A-0,1,10,108,300,,
10087,08-132-A-0,1,11,108,330,,
10088,08-134-A-0,1,8,108,240,,
10089,08-136-A-0,1,1,108,30,,
10090,08-137-A-0,1,5,108,150,,
10091,08-139-A-0,1,4,108,120,,
10092,08-146-A-0,1,19,108,570,,
10093,08-154-A-0,1,7,108,210,,
10094,08-160-A-0,1,14,108,420,,
10095,08-161-A-0,1,3,108,90,,
10096,09-006-A-0,1,7,109,210,,
10097,09-019-A-0,1,9,109,270,,
10098,09-022-A-0,1,11,109,330,,
