hh_id               itime                                     day
10001          10, 10, 10                69(14), 148(30), 228(46)
10002          10, 10, 10                68(14), 147(30), 227(46)
10003          10, 10, 10                67(14), 146(30), 226(46)
10004          10, 10, 10                66(14), 145(29), 225(45)
10005          10, 10, 10                70(14), 144(29), 224(45)
10006          10, 10, 10                69(14), 143(29), 223(45)
10007          10, 10, 10                68(14), 142(29), 222(45)
10008      10, 10, 10, 10        53(11), 61(13), 141(29), 221(45)
10009          10, 10, 10                67(14), 140(28), 220(44)
10010          10, 10, 10                66(14), 139(28), 219(44)
10011          10, 10, 10                70(14), 138(28), 218(44)
10012          10, 10, 10                69(14), 137(28), 217(44)
10013          10, 10, 10                68(14), 136(28), 216(44)
10014          10, 10, 10                59(12), 135(27), 215(43)
10015          10, 10, 10                67(14), 134(27), 214(43)
10016          10, 10, 10                66(14), 133(27), 213(43)
10017          10, 10, 10                70(14), 132(27), 212(43)
10018          10, 10, 10                69(14), 131(27), 211(43)
10019          10, 10, 10                68(14), 130(26), 210(42)
10020          10, 10, 10                67(14), 129(26), 209(42)
10021          10, 10, 10                62(13), 128(26), 208(42)
10022          10, 10, 10                66(14), 127(26), 207(42)
10023          10, 10, 10                61(13), 126(26), 206(42)
10024          10, 10, 10                65(13), 125(25), 205(41)
10025          10, 10, 10                64(13), 124(25), 204(41)
10026          10, 10, 10                63(13), 123(25), 203(41)
10027          10, 10, 10                58(12), 122(25), 202(41)
10028          10, 10, 10                62(13), 121(25), 201(41)
10029          10, 10, 10                61(13), 120(24), 200(40)
10030          10, 10, 10                79(16), 119(24), 199(40)
10031          10, 10, 10                78(16), 118(24), 198(40)
10032          10, 10, 10                77(16), 117(24), 197(40)
10033          10, 10, 10                76(16), 116(24), 196(40)
10034          10, 10, 10                80(16), 115(23), 195(39)
10035          10, 10, 10                79(16), 114(23), 194(39)
10036          10, 10, 10                78(16), 113(23), 193(39)
10037          10, 10, 10                77(16), 112(23), 192(39)
10038          10, 10, 10                76(16), 111(23), 191(39)
10039          10, 10, 10                72(15), 110(22), 190(38)
10040          10, 10, 10                71(15), 109(22), 189(38)
10041          10, 10, 10                75(15), 108(22), 188(38)
10042          10, 10, 10                74(15), 107(22), 187(38)
10043          10, 10, 10                73(15), 106(22), 186(38)
10044          10, 10, 10                72(15), 105(21), 185(37)
10045          10, 10, 10                71(15), 104(21), 184(37)
10046          10, 10, 10                75(15), 103(21), 183(37)
10047          10, 10, 10                74(15), 102(21), 182(37)
10048          10, 10, 10                73(15), 101(21), 181(37)
10049          10, 10, 10                72(15), 100(20), 180(36)
10050          10, 10, 10                 71(15), 99(20), 179(36)
10051          10, 10, 10                 59(12), 98(20), 178(36)
10052          10, 10, 10                 58(12), 97(20), 177(36)
10053          10, 10, 10                 57(12), 96(20), 176(36)
10054          10, 10, 10                 52(11), 95(19), 175(35)
10055          10, 10, 10                 51(11), 94(19), 174(35)
10056          10, 10, 10                 55(11), 93(19), 173(35)
10057          10, 10, 10                 54(11), 92(19), 172(35)
10058          10, 10, 10                 53(11), 91(19), 171(35)
10059          10, 10, 10                 52(11), 90(18), 170(34)
10060          10, 10, 10                 51(11), 89(18), 169(34)
10061          10, 10, 10                 55(11), 88(18), 168(34)
10062          10, 10, 10                 54(11), 87(18), 167(34)
10063          10, 10, 10                 53(11), 86(18), 166(34)
10064          10, 10, 10                 52(11), 85(17), 165(33)
10065          10, 10, 10                 51(11), 84(17), 164(33)
10066         475, 10, 10                  12(3), 83(17), 163(33)
10067         525, 10, 10                  11(3), 82(17), 162(33)
10068         175, 10, 10                  15(3), 81(17), 161(33)
10069      50, 10, 10, 10         14(3), 80(16), 160(32), 240(48)
10070     100, 10, 10, 10         13(3), 79(16), 159(32), 239(48)
10071     125, 10, 10, 10         10(2), 78(16), 158(32), 238(48)
10072     225, 10, 10, 10         12(3), 77(16), 157(32), 237(48)
10073     350, 10, 10, 10          9(2), 76(16), 156(32), 236(48)
10074     550, 10, 10, 10         11(3), 75(15), 155(31), 235(47)
10075     150, 10, 10, 10          8(2), 74(15), 154(31), 234(47)
10076     175, 10, 10, 10          7(2), 73(15), 153(31), 233(47)
10077     150, 10, 10, 10          6(2), 72(15), 152(31), 232(47)
10078     325, 10, 10, 10         10(2), 71(15), 151(31), 231(47)
10079     250, 10, 10, 10          9(2), 70(14), 150(30), 230(46)
10080     200, 10, 10, 10          8(2), 69(14), 149(30), 229(46)
10081     250, 10, 10, 10          7(2), 68(14), 148(30), 228(46)
10082      25, 10, 10, 10          6(2), 67(14), 147(30), 227(46)
10083     175, 10, 10, 10         10(2), 66(14), 146(30), 226(46)
10084     150, 10, 10, 10          9(2), 65(13), 145(29), 225(45)
10085     250, 10, 10, 10          8(2), 64(13), 144(29), 224(45)
10086     250, 10, 10, 10          7(2), 63(13), 143(29), 223(45)
10087     275, 10, 10, 10          6(2), 62(13), 142(29), 222(45)
10088     200, 10, 10, 10         10(2), 61(13), 141(29), 221(45)
10089      25, 10, 10, 10          9(2), 60(12), 140(28), 220(44)
10090     125, 10, 10, 10          8(2), 59(12), 139(28), 219(44)
10091     100, 10, 10, 10          7(2), 58(12), 138(28), 218(44)
10092     475, 10, 10, 10          6(2), 57(12), 137(28), 217(44)
10093     175, 10, 10, 10          4(1), 56(12), 136(28), 216(44)
10094     350, 10, 10, 10          3(1), 55(11), 135(27), 215(43)
10095      75, 10, 10, 10          2(1), 54(11), 134(27), 214(43)
10096     175, 10, 10, 10        48(10), 53(11), 133(27), 213(43)
10097     225, 10, 10, 10        47(10), 52(11), 132(27), 212(43)
10098     275, 10, 10, 10        46(10), 51(11), 131(27), 211(43)
10099     225, 10, 10, 10         43(9), 50(10), 130(26), 210(42)
10100     200, 10, 10, 10         42(9), 49(10), 129(26), 209(42)
10101     225, 10, 10, 10         41(9), 48(10), 128(26), 208(42)
