hh_id               itime                                     day      Interviewer ID
10001      10, 10, 10, 10        69(14), 68(14), 148(30), 228(46)          3, 7, 7, 7
10002      10, 10, 10, 10        68(14), 67(14), 147(30), 227(46)         1, 7, 7, 12
10003      75, 10, 10, 10       227(46), 66(14), 146(30), 226(46)          2, 7, 7, 9
10004      10, 10, 10, 10       146(30), 65(13), 145(29), 225(45)         3, 7, 8, 11
10005      10, 10, 10, 10       150(30), 64(13), 224(45), 144(29)        1, 6, 11, 12
10006      10, 10, 10, 10       149(30), 223(45), 63(13), 143(29)          2, 6, 7, 7
10007      10, 10, 10, 10        68(14), 142(29), 62(13), 222(45)         1, 7, 8, 12
10008      25, 10, 10, 10       213(43), 61(13), 221(45), 141(29)         2, 7, 7, 12
10009      10, 10, 10, 10       147(30), 60(12), 140(28), 220(44)         1, 7, 7, 12
10010      10, 10, 10, 10        66(14), 219(44), 59(12), 139(28)          1, 6, 7, 8
10011      10, 10, 10, 10        70(14), 58(12), 218(44), 138(28)          2, 7, 7, 8
10012      10, 10, 10, 10        69(14), 57(12), 137(28), 217(44)          2, 6, 7, 7
10013      10, 10, 10, 10       148(30), 216(44), 56(12), 136(28)         2, 7, 9, 12
10014      50, 10, 10, 10       219(44), 55(11), 135(27), 215(43)         2, 7, 7, 12
10015      10, 10, 10, 10       147(30), 54(11), 134(27), 214(43)          2, 7, 7, 7
10016     200, 10, 10, 10       226(46), 53(11), 213(43), 133(27)         1, 7, 9, 12
10017     175, 10, 10, 10       230(46), 212(43), 52(11), 132(27)          1, 6, 7, 7
10018     200, 10, 10, 10       229(46), 51(11), 211(43), 131(27)         1, 7, 8, 12
10019     175, 10, 10, 10       228(46), 50(10), 130(26), 210(42)          1, 7, 7, 8
10020     200, 10, 10, 10       227(46), 209(42), 49(10), 129(26)          1, 6, 8, 8
10021      10, 10, 10, 10       142(29), 48(10), 128(26), 208(42)          2, 7, 7, 8
10022      10, 10, 10, 10       146(30), 47(10), 207(42), 127(26)          2, 7, 7, 8
10023      10, 10, 10, 10       141(29), 46(10), 126(26), 206(42)          2, 7, 7, 7
10024     125, 10, 10, 10        225(45), 45(9), 125(25), 205(41)          1, 6, 7, 8
10025      10, 10, 10, 10         64(13), 204(41), 44(9), 124(25)          1, 6, 7, 7
10026      75, 10, 10, 10        223(45), 123(25), 203(41), 43(9)          1, 6, 7, 8
10027      10, 10, 10, 10         58(12), 42(9), 122(25), 202(41)          4, 6, 8, 8
10028      10, 10, 10, 10         62(13), 121(25), 41(9), 201(41)         2, 8, 9, 12
