hh_id               itime                                     day      Interviewer ID
10001          10, 10, 50                66(14), 146(30), 228(46)             1, 1, 1
10002         10, 10, 350                66(14), 146(30), 230(46)             1, 1, 1
10003          10, 10, 75                66(14), 146(30), 227(46)             1, 1, 1
10004         10, 10, 400                66(14), 146(30), 229(46)             1, 1, 1
10005         10, 10, 175                66(14), 146(30), 228(46)             1, 1, 1
10006         10, 10, 125                66(14), 146(30), 228(46)             1, 1, 1
10007          10, 10, 50                66(14), 146(30), 227(46)             1, 1, 1
10008              10, 25                         51(11), 211(43)                1, 1
10009         10, 10, 100                66(14), 146(30), 227(46)             1, 1, 1
10010         10, 10, 200                66(14), 146(30), 227(46)             1, 1, 1
10011         10, 10, 200                66(14), 146(30), 226(46)             1, 1, 1
10012         10, 10, 175                66(14), 146(30), 226(46)             1, 1, 1
10013          10, 10, 50                66(14), 146(30), 226(46)             1, 1, 1
10014          10, 10, 50                56(12), 136(28), 216(44)             1, 1, 1
10015     10, 10, 452, 97       66(14), 146(30), 229(46), 230(46)          1, 1, 2, 2
10016              10, 10                         66(14), 146(30)                1, 1
10017              10, 10                         66(14), 146(30)                1, 1
10018      10, 10, 7, 192       66(14), 146(30), 228(46), 229(46)          1, 1, 2, 2
10019              10, 10                         66(14), 146(30)                1, 1
10020              10, 10                         66(14), 146(30)                1, 1
10021         10, 10, 150                61(13), 141(29), 223(45)             1, 1, 1
10022    10, 10, 112, 187       66(14), 146(30), 227(46), 228(46)          1, 1, 2, 2
10023         10, 10, 400                61(13), 141(29), 224(45)             1, 1, 1
10024         10, 10, 125                61(13), 141(29), 221(45)             1, 1, 1
10025         10, 10, 250                61(13), 141(29), 223(45)             1, 1, 1
10026          10, 10, 75                61(13), 141(29), 221(45)             1, 1, 1
10027         10, 10, 125                56(12), 136(28), 216(44)             1, 1, 1
10028         10, 10, 325                61(13), 141(29), 222(45)             1, 1, 1
10029         10, 10, 200                61(13), 141(29), 221(45)             1, 1, 1
10030          10, 50, 10                77(16), 157(32), 239(48)             1, 1, 1
10031          10, 75, 10                77(16), 156(32), 239(48)             1, 1, 1
10032         10, 150, 10                77(16), 158(32), 239(48)             1, 1, 1
10033         10, 175, 10                77(16), 157(32), 239(48)             1, 1, 1
10034         10, 125, 10                77(16), 157(32), 239(48)             1, 1, 1
10035     10, 75, -66, 76       77(16), 156(32), 238(48), 239(48)          1, 1, 1, 1
10036          10, 50, 10                77(16), 159(32), 239(48)             1, 1, 1
10037         10, 150, 10                77(16), 159(32), 239(48)             1, 1, 1
10038         10, 200, 10                77(16), 158(32), 239(48)             1, 1, 1
10039         10, 125, 10                72(15), 155(31), 234(47)             1, 1, 1
10040         10, 125, 10                72(15), 155(31), 234(47)             1, 1, 1
10041          10, 75, 10                72(15), 154(31), 234(47)             1, 1, 1
10042         10, 225, 10                72(15), 154(31), 234(47)             1, 1, 1
10043         10, 125, 10                72(15), 153(31), 234(47)             1, 1, 1
10044         10, 100, 10                72(15), 153(31), 234(47)             1, 1, 1
10045         10, 150, 10                72(15), 153(31), 234(47)             1, 1, 1
10046          10, 50, 10                72(15), 152(31), 234(47)             1, 1, 1
10047         10, 125, 10                72(15), 152(31), 234(47)             1, 1, 1
10048         10, 150, 10                71(15), 152(31), 234(47)             1, 1, 1
10049          10, 50, 10                71(15), 151(31), 234(47)             1, 1, 1
10050         10, 150, 10                71(15), 151(31), 234(47)             1, 1, 1
10051         10, 300, 10                57(12), 138(28), 219(44)             1, 1, 1
10052          10, 50, 10                57(12), 137(28), 219(44)             1, 1, 1
10053          10, 75, 10                57(12), 137(28), 219(44)             1, 1, 1
10054              10, 10                         52(11), 213(43)                1, 1
10055     10, 409, 15, 10       52(11), 134(27), 135(27), 213(43)          1, 1, 1, 1
10056              10, 10                         52(11), 213(43)                1, 1
